company_id,company_name,year,quarter,total_assets,total_debt,interest_bearing_debt,total_revenue,nonhalal_revenue,sector_code,industry_classification,company_type
1,PT Mitra Sejahtera,2023,1,1200000000000,600000000000,120000000000,500000000000,5000000000,PERMITTED,Manufacturing,Listed
2,PT Indah Makmur,2023,1,800000000000,400000000000,80000000000,300000000000,3000000000,PERMITTED,Retail,SME
3,PT Cahaya Nusantara,2023,1,1500000000000,750000000000,450000000000,600000000000,150000000000,ALCOHOL,Beverage,Listed
4,PT Berdikari Sentosa,2023,1,950000000000,475000000000,95000000000,350000000000,7000000000,PERMITTED,Technology,Startup
5,PT Mandiri Jaya,2023,1,700000000000,350000000000,70000000000,250000000000,2500000000,PERMITTED,Agriculture,SME
6,PT Energi Perkasa,2023,1,2000000000000,1000000000000,600000000000,800000000000,200000000000,WEAPONS,Defense,Listed
7,PT Harapan Baru,2023,1,600000000000,300000000000,60000000000,200000000000,2000000000,PERMITTED,Textile,SME
8,PT Berkembang Maju,2023,1,1100000000000,550000000000,110000000000,450000000000,4500000000,PERMITTED,Construction,Listed
9,PT Raih Kesempatan,2023,1,750000000000,375000000000,225000000000,300000000000,75000000000,GAMBLING,Gaming,Startup
10,PT Hidup Sukses,2023,1,900000000000,450000000000,90000000000,350000000000,3500000000,PERMITTED,Healthcare,Listed
11,PT Maju Bersama,2023,1,1300000000000,650000000000,195000000000,550000000000,110000000000,CONVENTIONAL_BANKING,Banking,Listed
12,PT Cerah Terang,2023,1,550000000000,275000000000,55000000000,180000000000,1800000000,PERMITTED,Education,SME
13,PT Emas Murni,2023,1,2200000000000,1100000000000,660000000000,900000000000,45000000000,PERMITTED,Mining,Listed
14,PT Putih Bersih,2023,1,650000000000,325000000000,65000000000,220000000000,2200000000,PERMITTED,Food,SME
15,PT Hijau Subur,2023,1,780000000000,390000000000,78000000000,280000000000,2800000000,PERMITTED,Agriculture,SME
16,PT Biru Laut,2023,1,1400000000000,700000000000,210000000000,600000000000,12000000000,PERMITTED,Fishery,Listed
17,PT Merah Cerah,2023,1,500000000000,250000000000,150000000000,180000000000,36000000000,PORK,Food,SME
18,PT Ungu Muda,2023,1,950000000000,475000000000,95000000000,400000000000,4000000000,PERMITTED,Logistics,Listed
19,PT Kuning Emas,2023,1,1050000000000,525000000000,105000000000,420000000000,4200000000,PERMITTED,Finance,Listed
20,PT Coklat Nikmat,2023,1,620000000000,310000000000,62000000000,200000000000,2000000000,PERMITTED,Confectionery,SME
21,PT Terang Benderang,2023,1,880000000000,440000000000,264000000000,350000000000,87500000000,ADULT_CONTENT,Entertainment,Startup
22,PT Datar Luas,2023,1,1150000000000,575000000000,115000000000,480000000000,4800000000,PERMITTED,Real Estate,Listed
23,PT Tinggi Lurus,2023,1,720000000000,360000000000,72000000000,280000000000,2800000000,PERMITTED,Automotive,SME
24,PT Berat Kuat,2023,1,1600000000000,800000000000,480000000000,700000000000,140000000000,GAMBLING,Gaming,Listed
25,PT Ringan Cepat,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Software,Startup
26,PT Cepat Lambat,2023,1,1250000000000,625000000000,125000000000,550000000000,5500000000,PERMITTED,Transport,Listed
27,PT Panjang Pendek,2023,1,740000000000,370000000000,74000000000,290000000000,2900000000,PERMITTED,Retail,SME
28,PT Luas Sempit,2023,1,950000000000,475000000000,285000000000,400000000000,100000000000,ALCOHOL,Beverage,Listed
29,PT Gelap Terang,2023,1,820000000000,410000000000,82000000000,320000000000,3200000000,PERMITTED,Energy,SME
30,PT Dingin Panas,2023,1,1300000000000,650000000000,390000000000,600000000000,150000000000,WEAPONS,Defense,Listed
31,PT Kecil Besar,2023,1,670000000000,335000000000,67000000000,230000000000,2300000000,PERMITTED,Retail,SME
32,PT Dekat Jauh,2023,1,1150000000000,575000000000,115000000000,500000000000,5000000000,PERMITTED,Logistics,Listed
33,PT Tua Muda,2023,1,720000000000,360000000000,216000000000,300000000000,75000000000,GAMBLING,Gaming,Startup
34,PT Basah Kering,2023,1,890000000000,445000000000,89000000000,350000000000,3500000000,PERMITTED,Manufacturing,Listed
35,PT Keras Lunak,2023,1,610000000000,305000000000,61000000000,200000000000,2000000000,PERMITTED,Retail,SME
36,PT Cerah Gelap,2023,1,1400000000000,700000000000,420000000000,600000000000,150000000000,CONVENTIONAL_BANKING,Banking,Listed
37,PT Cakap Bodoh,2023,1,750000000000,375000000000,75000000000,280000000000,2800000000,PERMITTED,Education,SME
38,PT Pandai Bingung,2023,1,1050000000000,525000000000,105000000000,420000000000,4200000000,PERMITTED,Technology,Listed
39,PT Cantik Jelek,2023,1,820000000000,410000000000,82000000000,320000000000,3200000000,PERMITTED,Retail,SME
40,PT Bagus Buruk,2023,1,1300000000000,650000000000,390000000000,550000000000,110000000000,PORK,Food,Listed
41,PT Segar Layu,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Agriculture,SME
42,PT Hidup Mati,2023,1,1150000000000,575000000000,115000000000,480000000000,4800000000,PERMITTED,Healthcare,Listed
43,PT Nyata Semu,2023,1,720000000000,360000000000,216000000000,280000000000,70000000000,ADULT_CONTENT,Entertainment,Startup
44,PT Nyaman Sesak,2023,1,950000000000,475000000000,95000000000,400000000000,4000000000,PERMITTED,Real Estate,Listed
45,PT Indah Buruk,2023,1,680000000000,340000000000,68000000000,240000000000,2400000000,PERMITTED,Retail,SME
46,PT Ramai Sunyi,2023,1,1400000000000,700000000000,210000000000,600000000000,12000000000,PERMITTED,Manufacturing,Listed
47,PT Sadar Tidur,2023,1,620000000000,310000000000,62000000000,200000000000,2000000000,PERMITTED,Software,Startup
48,PT Utuh Pecah,2023,1,1100000000000,550000000000,330000000000,500000000000,125000000000,WEAPONS,Defense,Listed
49,PT Murni Najis,2023,1,760000000000,380000000000,76000000000,290000000000,2900000000,PERMITTED,Logistics,SME
50,PT Kudus Cemar,2023,1,1250000000000,625000000000,125000000000,550000000000,5500000000,PERMITTED,Transport,Listed
51,PT Amanah Amin,2023,1,900000000000,450000000000,90000000000,350000000000,3500000000,PERMITTED,Finance,SME
52,PT Ikhlas Riya,2023,1,1450000000000,725000000000,145000000000,650000000000,6500000000,PERMITTED,Real Estate,Listed
53,PT Jujur Bohong,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Retail,SME
54,PT Tulus Minta,2023,1,1100000000000,550000000000,330000000000,480000000000,120000000000,GAMBLING,Gaming,Listed
55,PT Adil Zalim,2023,1,720000000000,360000000000,72000000000,280000000000,2800000000,PERMITTED,Agriculture,SME
56,PT Sabar Marah,2023,1,1300000000000,650000000000,390000000000,600000000000,150000000000,ALCOHOL,Beverage,Listed
57,PT Lembut Keras,2023,1,650000000000,325000000000,65000000000,220000000000,2200000000,PERMITTED,Manufacturing,SME
58,PT Mulia Hina,2023,1,950000000000,475000000000,95000000000,400000000000,4000000000,PERMITTED,Technology,Listed
59,PT Paham Bingung,2023,1,820000000000,410000000000,82000000000,320000000000,3200000000,PERMITTED,Retail,SME
60,PT Kaya Miskin,2023,1,1200000000000,600000000000,600000000000,500000000000,125000000000,CONVENTIONAL_BANKING,Banking,Listed
61,PT Sukses Gagal,2023,1,550000000000,275000000000,55000000000,180000000000,1800000000,PERMITTED,Software,Startup
62,PT Raih Jatuh,2023,1,1350000000000,675000000000,135000000000,600000000000,6000000000,PERMITTED,Finance,Listed
63,PT Dapat Hilang,2023,1,710000000000,355000000000,71000000000,270000000000,2700000000,PERMITTED,Education,SME
64,PT Untung Rugi,2023,1,1050000000000,525000000000,315000000000,450000000000,112500000000,PORK,Food,Listed
65,PT Menang Kalah,2023,1,680000000000,340000000000,68000000000,240000000000,2400000000,PERMITTED,Retail,SME
66,PT Lengkap Kurang,2023,1,1300000000000,650000000000,195000000000,550000000000,11000000000,PERMITTED,Manufacturing,Listed
67,PT Sempurna Cacat,2023,1,620000000000,310000000000,62000000000,200000000000,2000000000,PERMITTED,Logistics,Startup
68,PT Hidup Sehat,2023,1,1150000000000,575000000000,115000000000,500000000000,5000000000,PERMITTED,Healthcare,Listed
69,PT Putus Sambung,2023,1,780000000000,390000000000,234000000000,320000000000,80000000000,ADULT_CONTENT,Entertainment,SME
70,PT Nyata Nyata,2023,1,1200000000000,600000000000,120000000000,500000000000,5000000000,PERMITTED,Transport,Listed
71,PT Cerdas Bodoh,2023,1,550000000000,275000000000,55000000000,180000000000,1800000000,PERMITTED,Technology,Startup
72,PT Guna Guna,2023,1,1400000000000,700000000000,420000000000,600000000000,150000000000,WEAPONS,Defense,Listed
73,PT Baik Jahat,2023,1,720000000000,360000000000,72000000000,280000000000,2800000000,PERMITTED,Retail,SME
74,PT Halal Haram,2023,1,1050000000000,525000000000,315000000000,420000000000,105000000000,ALCOHOL,Beverage,Listed
75,PT Emas Lancar,2023,1,650000000000,325000000000,65000000000,220000000000,2200000000,PERMITTED,Manufacturing,SME
76,PT Perak Selalu,2023,1,1300000000000,650000000000,195000000000,550000000000,5500000000,PERMITTED,Finance,Listed
77,PT Kuningan Baik,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Retail,Startup
78,PT Besi Kokoh,2023,1,1200000000000,600000000000,600000000000,500000000000,125000000000,GAMBLING,Gaming,Listed
79,PT Tembaga Kuat,2023,1,750000000000,375000000000,75000000000,280000000000,2800000000,PERMITTED,Logistics,SME
80,PT Timah Lancar,2023,1,1100000000000,550000000000,110000000000,450000000000,4500000000,PERMITTED,Technology,Listed
81,PT Seng Lancar,2023,1,820000000000,410000000000,82000000000,320000000000,3200000000,PERMITTED,Education,SME
82,PT Nikel Baik,2023,1,1450000000000,725000000000,217500000000,650000000000,13000000000,PERMITTED,Real Estate,Listed
83,PT Batu Keras,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Software,Startup
84,PT Pasir Halus,2023,1,1100000000000,550000000000,550000000000,480000000000,120000000000,CONVENTIONAL_BANKING,Banking,Listed
85,PT Tanah Subur,2023,1,720000000000,360000000000,72000000000,280000000000,2800000000,PERMITTED,Agriculture,SME
86,PT Air Jernih,2023,1,1250000000000,625000000000,125000000000,550000000000,5500000000,PERMITTED,Manufacturing,Listed
87,PT Api Panas,2023,1,650000000000,325000000000,65000000000,220000000000,2200000000,PERMITTED,Retail,SME
88,PT Udara Segar,2023,1,1300000000000,650000000000,390000000000,600000000000,150000000000,PORK,Food,Listed
89,PT Bulan Terang,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Finance,Startup
90,PT Bintang Bersinar,2023,1,1150000000000,575000000000,115000000000,500000000000,5000000000,PERMITTED,Technology,Listed
91,PT Matahari Terbit,2023,1,760000000000,380000000000,228000000000,300000000000,75000000000,ADULT_CONTENT,Entertainment,SME
92,PT Awan Putih,2023,1,1100000000000,550000000000,110000000000,450000000000,4500000000,PERMITTED,Logistics,Listed
93,PT Hujan Lebat,2023,1,820000000000,410000000000,82000000000,320000000000,3200000000,PERMITTED,Agriculture,SME
94,PT Petir Kilat,2023,1,1400000000000,700000000000,210000000000,600000000000,12000000000,PERMITTED,Manufacturing,Listed
95,PT Guntur Keras,2023,1,650000000000,325000000000,162500000000,260000000000,65000000000,GAMBLING,Gaming,Startup
96,PT Angin Kencang,2023,1,1200000000000,600000000000,120000000000,500000000000,5000000000,PERMITTED,Real Estate,Listed
97,PT Debu Halus,2023,1,580000000000,290000000000,58000000000,190000000000,1900000000,PERMITTED,Retail,SME
98,PT Asap Tebal,2023,1,1350000000000,675000000000,405000000000,600000000000,150000000000,WEAPONS,Defense,Listed
99,PT Kabut Pekat,2023,1,720000000000,360000000000,72000000000,280000000000,2800000000,PERMITTED,Education,SME
100,PT Gerimis Lembut,2023,1,1100000000000,550000000000,110000000000,450000000000,4500000000,PERMITTED,Technology,Listed
